"名称","导演","主演","时间","地区","类型","评分","评分人数","简评"
"杀人回忆 / 살인의 추억 / 谋杀回忆 / 杀手回忆录","奉俊昊 Joon-ho Bong"," 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...","2003"," 韩国 "," 剧情 动作 犯罪 悬疑 惊悚",8.9,667228,"关于连环杀人悬案的集体回忆。"
"红辣椒 / パプリカ / 盗梦侦探(港 / 台)","今敏 Satoshi Kon"," 林原惠美 Megumi Hayashibara / 江守彻 Toru...","2006"," 日本 "," 动画 悬疑 科幻 惊悚",9.1,429648,"梦的勾结。"
"加勒比海盗 / Pirates of the Caribbean: The Curse of the Black Pearl / 加勒比海盗1：黑珍珠号的诅咒 / 神鬼奇航：鬼盗船魔咒(台)","戈尔·维宾斯基 Gore Verbinski"," 约翰尼·德普 Johnny Depp / ...","2003"," 美国 "," 动作 冒险 奇幻",8.8,815324,"约翰尼·德普的独角戏。"
"狩猎 / Jagten / 诬网(港) / 谎言的烙印(台)","托马斯·温特伯格 Thomas Vinterberg"," 麦斯·米科尔森 Mads Mik...","2012"," 丹麦 瑞典 "," 剧情",9.1,366129,"人言可畏。"
"被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港) / 令人讨厌的松子的一生(台)","中岛哲也 Tetsuya Nakashima"," 中谷美纪 Miki Nakatani / 瑛太 E...","2006"," 日本 "," 剧情 歌舞",8.9,674070,"以戏谑来戏谑戏谑。"
"7号房的礼物 / 7번방의 선물 / 戆爸的礼物(港) / 7号囚房的礼物","李焕庆 Hwan-kyeong Lee"," 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...","2013"," 韩国 "," 剧情 喜剧 家庭",8.9,526146,"《我是山姆》的《美丽人生》。"
"请以你的名字呼唤我 / Call Me by Your Name / 以你的名字呼唤我(港 / 台)","卢卡·瓜达尼诺 Luca Guadagnino"," 艾米·汉莫 Armie Hammer / ...","2017"," 意大利 法国 巴西 美国 "," 剧情 爱情 同性",8.9,678668,"沉醉在电影的情感和视听氛围中无法自拔。"
"哈利·波特与密室 / Harry Potter and the Chamber of Secrets / 哈利波特2：消失的密室(港 / 台)","Chris Columbus"," 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...","2002"," 英国 美国 "," 奇幻 冒险",8.8,697095,"魔法的密室之门已打开..."
"一一 / Yi yi / Yi yi: A One and a Two","杨德昌 Edward Yang"," 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...","2000"," 中国台湾 日本 "," 剧情 爱情 家庭",9.1,361925,"我们都曾经是一一。"
"唐伯虎点秋香 / 唐伯虎點秋香 / Flirting Scholar","李力持 Lik-Chi Lee"," 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...","1993"," 中国香港 "," 喜剧 爱情 古装",8.7,1016274,"华太师是黄霑，吴镇宇四大才子之一。"
"剪刀手爱德华 / Edward Scissorhands / 幻海奇缘(港) / 剪刀手爱德华","蒂姆·波顿 Tim Burton"," 约翰尼·德普 Johnny Depp / 薇诺娜·...","1990"," 美国 "," 剧情 奇幻 爱情",8.7,995760,"浪漫忧郁的成人童话。"
"断背山 / Brokeback Mountain / 断臂山 / BBM","李安 Ang Lee"," 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...","2005"," 美国 加拿大 "," 剧情 爱情 同性 家庭",8.8,676997,"每个人心中都有一座断背山。"
"勇敢的心 / Braveheart / 惊世未了缘(港) / 梅尔吉勃逊之英雄本色(台)","梅尔·吉布森 Mel Gibson"," 梅尔·吉布森 Mel Gibson / 苏菲·玛...","1995"," 美国 "," 动作 传记 剧情 历史 战争",8.9,539788,"史诗大片的典范。"
"入殓师 / おくりびと / 礼仪师之奏鸣曲(港) / 礼仪师(台)","泷田洋二郎 Yôjirô Takita"," 本木雅弘 Masahiro Motoki / ...","2008"," 日本 "," 剧情",8.9,631876,"死可能是一道门，逝去并不是终结，而是超越，走向下一程。"
"第六感 / The Sixth Sense / 鬼眼(港) / 灵异第六感(台)","M·奈特·沙马兰 M. Night Shyamalan"," 布鲁斯·威利斯 Bruce Wi...","1999"," 美国 "," 剧情 悬疑 惊悚",8.9,526992,"深入内心的恐怖，出人意料的结局。"
"爱在黎明破晓前 / Before Sunrise / 情留半天(港) / 爱在黎明破晓时(台)","理查德·林克莱特 Richard Linklater"," 伊桑·霍克 Ethan Hawke ...","1995"," 美国 奥地利 瑞士 "," 剧情 爱情",8.8,634083,"缘分是个连绵词，最美不过一瞬。"
"重庆森林 / 重慶森林 / Chungking Express","王家卫 Kar Wai Wong"," 林青霞 Brigitte Lin / 金城武 Takeshi K...","1994"," 中国香港 "," 剧情 爱情",8.8,765030,"寂寞没有期限。"
