"名称","导演","主演","时间","地区","类型","评分","评分人数","简评"
"波西米亚狂想曲 / Bohemian Rhapsody / 波希米亚狂想曲：摇滚传说(港) / 波希米亚狂想曲(台)","布莱恩·辛格 Bryan Singer"," 拉米·马雷克 Rami Malek / 本·哈...","2018"," 英国 美国 "," 剧情 传记 同性 音乐",8.6,568030,NA
"终结者2：审判日 / Terminator 2: Judgment Day / 未来战士2(港) / 魔鬼终结者2(台)","詹姆斯·卡梅隆 James Cameron"," 阿诺·施瓦辛格 Arnold Schwarz...","1991"," 美国 法国 "," 动作 科幻",8.8,323479,"少见的超越首部的续集，动作片中的经典。"
"疯狂的麦克斯4：狂暴之路 / Mad Max: Fury Road / 末日先锋：战甲飞车(港) / 疯狂麦斯：愤怒道(台)","乔治·米勒 George Miller"," 汤姆·哈迪 Tom Hardy / 查理兹·塞...","2015"," 澳大利亚 美国 "," 动作 科幻 冒险",8.7,498481,"“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~"
"新龙门客栈 / 新龍門客棧 / New Dragon Gate Inn","李惠民 Raymond Lee"," 张曼玉 Maggie Cheung / 林青霞 Brigitte ...","1992"," 中国香港 中国大陆 "," 动作 爱情 武侠 古装",8.7,419333,"嬉笑怒骂，调风动月。"
"奇迹男孩 / Wonder / 奇迹","斯蒂芬·卓博斯基 Stephen Chbosky"," 雅各布·特伦布莱 Jacob Tr...","2017"," 美国 中国香港 "," 剧情 儿童 家庭",8.6,529494,"世界不完美，爱会有奇迹。"
"二十二 / Twenty Two / 22","郭柯 Ke Guo","","2015"," 中国大陆 "," 纪录片",8.7,281051,"有一些东西不应该被遗忘。"
"无耻混蛋 / Inglourious Basterds / 希魔撞正杀人狂(港) / 恶棍特工(台)","Quentin Tarantino"," 布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...","2009"," 德国 美国 "," 剧情 犯罪",8.6,448891,"昆汀同学越来越变态了，比北野武还杜琪峰。"
"千钧一发 / Gattaca / 变种异煞(港) / 自然人","安德鲁·尼科尔 Andrew Niccol"," 伊桑·霍克 Ethan Hawke / 乌玛...","1997"," 美国 "," 剧情 科幻 惊悚",8.8,275031,"一部能引人思考的科幻励志片。"
"房间 / Room / 不存在的房间(台) / 抖室(港)","伦尼·阿伯拉罕森 Lenny Abrahamson"," 布丽·拉尔森 Brie Larson...","2015"," 爱尔兰 加拿大 英国 美国 "," 剧情 家庭",8.8,355597,"被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。"
"血钻 / Blood Diamond / 血钻石(台) / 血腥钻石","爱德华·兹威克 Edward Zwick"," 莱昂纳多·迪卡普里奥 Leonardo ...","2006"," 美国 德国 英国 "," 剧情 惊悚 冒险",8.7,359609,"每个美丽事物背后都是滴血的现实。"
"崖上的波妞 / 崖の上のポニョ / 悬崖上的金鱼姬 / 悬崖上的金鱼公主","宫崎骏 Hayao Miyazaki"," 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...","2008"," 日本 "," 动画 奇幻 冒险",8.6,459073,NA
"彗星来的那一夜 / Coherence / 相干性 / 相干效应","詹姆斯·沃德·布柯特 James Ward Byrkit"," 艾米丽·芭尔多尼 Em...","2013"," 美国 英国 "," 科幻 悬疑 惊悚",8.5,535958,"小成本大魅力。"
"黑客帝国2：重装上阵 / The Matrix Reloaded / 22世纪杀人网络2：决战未来(港) / 骇客任务：重装上阵(台)",NA,NA,"2003"," 美国 "," 动作 科幻",8.7,385505,"一个精彩的世界观正在缓缓建立。"
"步履不停 / 歩いても 歩いても / 横山家之味(港 / 台)","是枝裕和 Hirokazu Koreeda"," 阿部宽 Hiroshi Abe / 夏川结衣 Yu...","2008"," 日本 "," 剧情 家庭",8.8,263507,"日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。"
"魂断蓝桥 / Waterloo Bridge / 滑铁卢桥 / 断桥残梦","茂文·勒鲁瓦 Mervyn LeRoy"," 费雯·丽 Vivien Leigh / 罗伯特·...","1940"," 美国 "," 剧情 爱情 战争",8.8,263102,"中国式内在的美国电影。"
"战争之王 / Lord of War / 军火之王(台 / 港)","安德鲁·尼科尔 Andrew Niccol"," 尼古拉斯·凯奇 Nicolas Cage /...","2005"," 法国 德国 美国 "," 剧情 犯罪",8.7,346641,"做一颗让别人需要你的棋子。"
"爱乐之城 / La La Land / 星声梦里人(港) / 乐来越爱你(台)","达米恩·查泽雷 Damien Chazelle"," 瑞恩·高斯林 Ryan Gosling /...","2016"," 美国 "," 剧情 爱情 歌舞",8.4,833099,NA
"末路狂花 / Thelma & Louise / 塞尔玛与路易丝 / 末路狂花","雷德利·斯科特 Ridley Scott"," 吉娜·戴维斯 Geena Davis / 苏...","1991"," 美国 英国 法国 "," 犯罪 剧情 惊悚",8.9,228318,"没有了退路，只好飞向自由。"
"谍影重重2 / The Bourne Supremacy / 叛谍追击2：机密圈套(港) / 神鬼认证：神鬼疑云(台)","保罗·格林格拉斯 Paul Greengrass"," 马特·达蒙 Matt Damon / ...","2004"," 美国 德国 "," 动作 悬疑 惊悚",8.7,333800,"谁说王家卫镜头很晃？"
"火星救援 / The Martian / 火星任务(港) / 绝地救援(台)","雷德利·斯科特 Ridley Scott"," 马特·达蒙 Matt Damon / 杰西卡...","2015"," 英国 美国 匈牙利 约旦 "," 剧情 科幻 冒险",8.5,681317,NA
"燃情岁月 / Legends of the Fall / 秋日传奇 / 真爱一世情(台)","爱德华·兹威克 Edward Zwick"," 布拉德·皮特 Brad Pitt / 安东...","1994"," 美国 "," 剧情 爱情 战争 西部",8.8,273528,"传奇，不是每个人都可以拥有。"
"千年女优 / 千年女優 / Millennium Actress","今敏 Satoshi Kon"," 庄司美代子 Miyoko Shôji / 小山茉美 Mam...","2001"," 日本 "," 动画 剧情 爱情",8.8,244744,"爱情是一场没有尽头的虚幻追逐。"
"花束般的恋爱 / 花束みたいな恋をした / 她和他的恋爱花期(港) / Hanataba mitaina koi o shita","土井裕泰 Nobuhiro Doi"," 菅田将晖 Masaki Suda / 有村架纯 Kasu...","2021"," 日本 "," 剧情 爱情",8.6,524123,NA
"阿飞正传 / 阿飛正傳 / Days of Being Wild","王家卫 Kar Wai Wong"," 张国荣 Leslie Cheung / 张曼玉 Maggie C...","1990"," 中国香港 "," 犯罪 剧情 爱情",8.5,480738,"王家卫是一种风格，张国荣是一个代表。"
"再次出发之纽约遇见你 / Begin Again / 再次出发 / 歌曲改变人生","约翰·卡尼 John Carney"," 凯拉·奈特莉 Keira Knightley / 马克...","2013"," 美国 "," 喜剧 爱情 音乐",8.6,407083,"爱我就给我看你的播放列表。"
"谍影重重 / The Bourne Identity / 叛谍追击(港) / 神鬼认证(台)","道格·里曼 Doug Liman"," 马特·达蒙 Matt Damon / 弗兰卡·波坦...","2002"," 美国 德国 捷克 "," 动作 悬疑 惊悚",8.6,402104,"哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。"
"朗读者 / The Reader / 为爱朗读(台) / 读爱(港)","史蒂芬·戴德利 Stephen Daldry"," 凯特·温丝莱特 Kate Winslet ...","2008"," 美国 德国 "," 剧情 爱情",8.6,437554,"当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。"
"海洋 / Océans / Oceans / 海洋","雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud","...","2009"," 法国 瑞士 西班牙 美国 阿联酋 摩纳哥 "," 纪录片",9.1,152471,"大海啊，不全是水。"
"香水 / Perfume: The Story of a Murderer / 香水：一个杀人犯的故事 / 香水：一个谋杀犯的故事","汤姆·提克威 Tom Tykwer"," 本·卫肖 Ben Whishaw / 艾伦·瑞克...","2006"," 德国 法国 西班牙 美国 比利时 "," 剧情 犯罪 奇幻",8.5,522205,"一个单凭体香达到高潮的男人。"
"穿越时空的少女 / 時をかける少女 / 跳跃吧！时空少女(台) / Toki o kakeru shôjo","细田守 Mamoru Hosoda"," 仲里依纱 Riisa Naka / 石田卓也 Takuya...","2006"," 日本 "," 剧情 爱情 科幻 动画",8.6,364759,"爱上未来的你。"
"哈利·波特与死亡圣器(上) / Harry Potter and the Deathly Hallows: Part 1 / 哈利波特7：死神的圣物1(港 / 台)","大卫·叶茨 David Yates"," 丹尼尔·雷德克里夫 Daniel Radcliffe...","2010"," 英国 美国 "," 奇幻 冒险",8.5,526024,"最忠于原著的一部。"
"弱点 / The Blind Side / 守护有心人(港) / 攻其不备(台)","约翰·李·汉考克 John Lee Hancock"," 桑德拉·布洛克 Sandra Bu...","2009"," 美国 "," 剧情 家庭 传记 运动",8.7,281185,"拍掉身上的悲伤，从今天开始重新踏上追梦之旅。"
"地球上的星星 / Taare Zameen Par / 心中的小星星(台) / 每一个孩子都是特别的","阿米尔·汗 Aamir Khan"," 达席尔·萨法瑞 Darsheel Safary / 阿...","2007"," 印度 "," 剧情 儿童 家庭",8.9,195053,"天使保护事件始末。"
"我爱你 / 그대를 사랑합니다 / 爱你 / 爱，是一生相伴(台)","秋昌民 Chang-min Choo"," 宋在河 Jae-ho Song / 李顺载 Soon-jae...","2011"," 韩国 "," 剧情 爱情",9,157674,"你要相信，这世上真的有爱存在，不管在什么年纪"
"完美陌生人 / Perfetti sconosciuti / 完美谎情(港) / 波动的信息分享","保罗·格诺维瑟 Paolo Genovese"," 马可·贾利尼 Marco Giallini ...","2016"," 意大利 "," 剧情 喜剧",8.5,502424,"来啊，互相伤害啊！"
